Practice Name,lat,lon,display_address,Nation
Patrick Dental,53.3415531,-6.2725193,"Nicholas Street, Dublin, D08 V5Y4",Ireland
Luxdent,53.3562716,-6.266562,"70 Blessington Street, Dublin",Ireland
Kenmare Family Dental,51.8794577,-9.5846848,"Kenmare, Kerry",Ireland
Blessington Dental,53.1698475,-6.5328961,"1 Millbank, Wicklow",Ireland
Alex O'Regan,51.8149025,-8.3903908,Cork,Ireland
"Teeth Whitening Dublin, The White House Swords",53.4554467,-6.2223511,"1 Main Street, Swords, Dublin",Ireland
Bride Place Dental,52.3346602,-6.4624735,"Bride Place, Wexford",Ireland
Blackglen Dental,53.2687841,-6.2425062,"5 Blackglen Village Centre, Dublin",Ireland
Bandon Dental Care,51.7444253,-8.7389529,"55 South Main Street, Bandon, Cork",Ireland
Dental Surgery Dr. Maeve O'Flynn BDS NUI,52.6544791,-7.2544225,Kilkenny,Ireland
Dublin Dental Specialist,53.3450316,-6.2972225,Dublin,Ireland
Citygate Specialist Dental Clinic,51.8859266,-8.4044981,"City Gate, Cork",Ireland
Inchicore Dental Centre,53.338866,-6.3215361,Dublin,Ireland
Cotter Orthodontics,52.060594,-9.4871085,"Park Road, Killarney, Kerry",Ireland
Racefield,52.6364859,-8.6686052,Limerick,Ireland
Liam Tuohy Dental,51.8117131,-8.3936016,"Kilmoney Road, Carrigaline, Cork",Ireland
Midand Denture Clinic,53.0343114,-7.3002418,"Church Street, Port Laoise, Laois",Ireland
Winning Smile - Family Dental Clinic,51.8129865,-8.3926659,"Main Street, Carrigaline, Cork",Ireland
Browne Orthodontics,51.7446943,-8.7379714,Cork,Ireland
Redmond,53.3897182,-6.1089184,"10 Howth Road, Dublin",Ireland
Centre of Cosmetic Dentistry,53.3876582,-6.0669233,"Harbour Road, Dublin",Ireland
Hazelwood Dental Practice,51.9311358,-8.3972882,"Hazel Wood Shopping Centre, Glanmire, Cork",Ireland
"WinningSmile Dental, Orthodontics & Cosmetics",51.9277287,-8.3970857,Cork,Ireland
Glanmire Dental Practice,51.9284123,-8.3907246,Cork,Ireland
Saint Lukes Dental,51.9059956,-8.4579546,Cork,Ireland
Lansdowne Dental,52.6670303,-8.6447738,Limerick,Ireland
Dunshaughlin Dental Centre,53.5099175,-6.5398557,"Main Street, Dunshaughlin, Meath",Ireland
Tuam Dental,53.5131409,-8.8527527,"Vicar Street, Galway",Ireland
Killane Dental Care,53.2949593,-6.1421499,"135 George's Street Lower, DÃºn Laoghaire, Dublin",Ireland
Noonan Dental Care,52.3558161,-8.683928,Cork,Ireland
Gabirel Dental Clinic,51.6504449,-9.9127744,Cork,Ireland
Atrium Dental Clinic,51.9160715,-8.4727001,Cork,Ireland
No. 8 Clinic,52.6635659,-8.6233584,Limerick,Ireland
Blarney Street Dental Surgery,51.9022851,-8.4803616,"385 Blarney Street, Cork",Ireland
Athenry Family Dental Practice,53.2987716,-8.7477336,Galway,Ireland
University Court Medical Centre,52.6670643,-8.5700551,Limerick,Ireland
City Denture Clinic,52.2597693,-7.1168505,"Five Alley Lane, Waterford",Ireland
Dental Repairs,52.3526287,-7.7044738,"O'Connell Street, Tipperary",Ireland
Clonmel Children's Dental Practise,52.3543463,-7.7002463,Tipperary,Ireland
Borstal Gate Dental Surgery,52.3548146,-7.7000716,"Richmond Road, Tipperary",Ireland
Macroom Dental Practice,51.9046477,-8.9592207,"Middle Square, Macroom, Cork",Ireland
Castle Street Dental Practice,51.9053333,-8.9616758,"12 Castle Street, Macroom, Cork, P12 N296",Ireland
Dennehy's Cross Dental Care,51.8891578,-8.5074903,Cork,Ireland
Clifden Dental,53.4889472,-10.0186031,Galway,Ireland
Eyre Square Dental,53.2733964,-9.0489776,"Eyre Square, Galway",Ireland
Newlands Dental,53.3137426,-6.3942017,Dublin,Ireland
Quirke Dental Surgeons,52.3968771,-6.9437451,"John Street, New Ross, Wexford",Ireland
Dental Care Ireland Knocklyon,53.2831249,-6.3183054,Dublin,Ireland
Dr. W. F. McCollam,52.6508515,-7.2523805,"High Street, Kilkenny",Ireland
Newbridge Medical & Dental,53.1821701,-6.8021883,Kildare,Ireland
Le Masney Dr Barry Orthodontist Limerick,52.6677874,-8.6399129,Limerick,Ireland
Merrion Road Dentist,53.3164197,-6.2093121,Dublin,Ireland
Margaret Tuite Dental,53.2987219,-6.2177268,"7 Callary Road, Dublin",Ireland
Leixlip Dental Centre and 3D CBCT Imaging Centre,53.3640628,-6.4894679,"4 The Mall, Main Street, Leixlip, Kildare, W23 P2P4",Ireland
Barry Herlihy,51.7218354,-9.108127,Cork,Ireland
Oaklawn Dental Care,53.3661262,-6.5045036,"51 Oaklawn, Kildare",Ireland
Northern Cross Dental Centre,53.4039191,-6.181204,Dublin,Ireland
Mahon Dental Surgery,51.8937276,-8.4033942,Cork,Ireland
Niall Coonan Dental Surgery,51.9334367,-8.5699709,"Saint Ann's Road Blarney Shopping Centre, Blarney Shopping Centre, Cork",Ireland
Dental House Castleknock Orthodontics & Implant Care,53.3727555,-6.3608917,"Unit 9 Castleknock Road, Castleknock, Dublin, D15 W9DH",Ireland
Callan Dental,52.5398303,-7.3938619,Kilkenny,Ireland
Dalkey Dental,53.2774316,-6.1040993,"23 Castle Street, Dalkey, Dublin, A96 N8P3",Ireland
Vard Dental,53.2675142,-6.1366823,"235 Rochestown Avenue, DÃºn Laoghaire, Dublin, A96 W8X4",Ireland
Bray Dental,53.2032619,-6.1098021,"Main Street, Bray, Wicklow",Ireland
HSE Dental Service,53.4235929,-7.9821078,Roscommon,Ireland
Shannon Orthodontics,53.4211459,-7.9302792,Westmeath,Ireland
Dental Tech,52.3418634,-6.4640789,"Selskar Street, Wexford",Ireland
Orthodontic Service,53.287424,-6.377057,"Tallaght, Dublin",Ireland
DeoDental,53.713421,-6.3479529,"Marsh Road, Drogheda, Louth",Ireland
King Dental,53.2708397,-9.0530052,"5 Flood Street, Galway",Ireland
Dean Street Dental Clinic,52.655344,-7.2572159,"Dean Street, Kilkenny",Ireland
Market Cross Dentist,52.6530129,-7.2548631,Kilkenny,Ireland
Dental Excellence,53.4217709,-7.9343589,Westmeath,Ireland
Castle Clinic,53.2782159,-6.1075106,"2 Castle Street, Dalkey, Dublin, A96 H7P4",Ireland
David McConville Orthodontics,54.6559609,-8.1092978,Donegal,Ireland
Number 16 Periodontics,53.3101288,-6.2137774,"16 Woodbine Road, Dublin",Ireland
Clinic FiaclÃ³ireachta an SpidÃ©al,53.2444131,-9.3054795,Galway,Ireland
Cross Street Dental,53.2711921,-9.0530883,"Cross Street Lower, Galway",Ireland
Dr. V.M. O'Connor,53.2743761,-9.0517061,"14 Eglinton Street, Galway",Ireland
OrthoDental,52.9142143,-7.3499339,"Abbeyleix, Laois",Ireland
_____ Dental Care,53.3866481,-6.1472299,"Kilbarrack Road, Dublin",Ireland
The James Clinic,53.4150426,-6.8350026,"Main Street, Enfield, Meath",Ireland
Ormond Orthodontics,52.6614295,-7.2599508,"Freshford Road, Kilkenny",Ireland
Clonmel Orthodontics,52.3522721,-7.6990074,"The New Quay, Clonmel, Tipperary, E91 F2Y1",Ireland
Blackrock Dental,53.302095,-6.1790063,"Rock Hill, Blackrock, Dublin",Ireland
The Dental Studio,53.1522267,-6.081748,"Blacklion Manor Road, Greystones, Wicklow, A63 HF88",Ireland
Ratoath Orthodontics,53.5071217,-6.4646956,"Fairyhouse Road, Ratoath, Meath, A85HK31",Ireland
Dr. Brian Halton,52.648397,-7.2467105,Kilkenny,Ireland
Dr. Ian Fitzgerald,52.6484038,-7.2466731,Kilkenny,Ireland
Fingal Dental Surgery,53.5248189,-6.1634288,"Station Road, Lusk, Dublin",Ireland
Dermot Kavanagh Orthodontics,53.2772331,-6.1665694,Dublin,Ireland
Ashbourne Dental Care,53.5133444,-6.3989954000000004,"Frederick Street, Ashbourne, Meath",Ireland
Dental Solutions,53.2802785,-6.1577063,"Rochestown Avenue, Deansgrange, Dublin, A96 WR2W",Ireland
Mullane Dental,52.4520843,-9.0592598,"3 Bishop Street, Newcastle West, Limerick, V42 Y654",Ireland
Cornelscourt Dental Practice,53.2655675,-6.160642,"2 New Cornelscourt, Dublin",Ireland
John White Dental Technician,52.340939,-6.4630005,"North Main Street, Wexford",Ireland
Southern Dental Laboratory,52.3393967,-6.4626109,"43 North Main Street, Wexford",Ireland
Galway Dentists,53.2675363,-9.0619145,"6 Father Griffin Avenue, Galway",Ireland
Elton Dental and Medical Centre,53.2858417,-6.1160369,"30 Sandycove Road, Dublin",Ireland
Boland Dental Surgery,53.4272553,-7.9331897,"Ballymahon Road, Athlone, Westmeath",Ireland
Westside Dental,53.4269037,-7.9603122,Westmeath,Ireland
Meares Dental Surgery,53.4220186,-7.9463245,Westmeath,Ireland
Churchview Dental Castle Orthodontics,53.035889,-7.2924091,Laois,Ireland
Dental Repair Service,52.8063092,-7.2102886,"Chatsworth Street, Castlecomer, Kilkenny",Ireland
Eurodental,52.6028111,-6.9340196,"Upper Cottages, Borris, Carlow",Ireland
Colm Smith Dental,54.0734523,-7.0811081,"Market Street, Cootehill, Cavan",Ireland
Carton Dental,53.3821849,-6.5864011,"Dublin Road, Maynooth, Kildare",Ireland
SOS Dental,53.3798135,-6.1773848,"407 Howth Road, Raheny, Dublin",Ireland
Fiacla Dental Surgery,53.2129284,-6.6662373,Kildare,Ireland
Boyne Dental Implant Clinic,53.3819757,-6.5880533,"Dublin Road, Maynooth, Kildare",Ireland
White House Dental Clinic,54.1200968,-6.7328952,"Market Square, Castleblayney, Monaghan",Ireland
Main Street Dental,52.3457164,-7.4122223,"70, Tipperary",Ireland
P. Reid Dental Laboratory,53.3205344,-6.3934281,Dublin,Ireland
College Street Dental,53.9890391,-7.3628128,Cavan,Ireland
